Name,Age,Occupation,Annual Income (INR),Credit Score (300-850),Lender,Loan Purpose,Approved Loan Amount (INR),Months of Payment,Interest Rate (%),Monthly EMI (INR),DTI Ratio,Loan Status (Pass/Rejected)
Person 0237,37,Retail Manager,1318108,833,Axis Bank,Medical Emergency,1257616,36,6.87,38757,0.353,Pass
Person 0238,27,Software Engineer,1947976,849,State Bank of India,Debt Consolidation,734225,60,10.29,15705,0.097,Pass
Person 0239,41,Construction Worker,492617,847,Bajaj Finserv,Education (Tuition/Fees),904154,72,4.14,14203,0.346,Pass
Person 0240,28,Software Engineer,2162205,837,ICICI Bank,Debt Consolidation,762336,60,8.37,15593,0.087,Pass
Person 0241,20,University Student,105338,841,Kotak Mahindra Bank,Consumer Durable/Tech,419325,12,3.6,35629,4.059,Rejected
Person 0242,47,CEO,42712800,850,Kotak Mahindra Bank,Travel/Vacation,1122466,24,5.89,49693,0.014,Pass
Person 0243,24,University Student,70739,827,ICICI Bank,Consumer Durable/Tech,427164,12,4.04,36381,6.172,Rejected
Person 0244,40,Retail Manager,984966,807,ICICI Bank,Medical Emergency,575379,24,5.96,25491,0.311,Pass
Person 0245,44,Software Engineer,3165863,850,ICICI Bank,Debt Consolidation,687823,60,10.89,14917,0.057,Pass
Person 0246,24,University Student,1830,819,ICICI Bank,Consumer Durable/Tech,408423,12,6.16,35182,230.699,Rejected
Person 0247,44,High School Teacher,498038,816,HDFC Bank,Medical Emergency,549250,12,4.55,46907,1.13,Rejected
Person 0248,53,CEO,37682911,794,Kotak Mahindra Bank,Travel/Vacation,876403,24,7.61,39482,0.013,Pass
Person 0249,45,CEO,37671351,841,HDFC Bank,Travel/Vacation,713682,18,4.03,40926,0.013,Pass
Person 0250,24,University Student,0,797,Axis Bank,Vehicle Purchase,734405,48,8.28,18026,18025.654,Rejected
Person 0251,39,Retail Manager,1542038,814,Axis Bank,Medical Emergency,585830,24,6.36,26059,0.203,Pass
Person 0252,29,Retail Manager,1421622,841,Kotak Mahindra Bank,Medical Emergency,817928,24,6.45,36417,0.307,Pass
Person 0253,18,University Student,0,844,Axis Bank,Vehicle Purchase,718998,48,4.26,16318,16318.082,Rejected
Person 0254,32,Retail Manager,1645256,816,ICICI Bank,Medical Emergency,455275,12,4.43,38856,0.283,Pass
Person 0255,42,Software Engineer,1183344,827,HDFC Bank,Debt Consolidation,750713,60,5.47,14329,0.145,Pass
Person 0256,44,Freelance Designer,454873,812,ICICI Bank,Home Renovation,522940,36,4.89,15647,0.413,Pass
Person 0257,24,University Student,0,819,Axis Bank,Consumer Durable/Tech,1099400,36,7.08,33987,33986.508,Rejected
Person 0258,31,Construction Worker,590941,835,Bajaj Finserv,Education (Tuition/Fees),702600,72,2.55,10534,0.214,Pass
Person 0259,24,Freelance Designer,897773,819,HDFC Bank,Home Renovation,1932375,60,3.56,35205,0.471,Pass
Person 0260,31,Software Engineer,777317,825,ICICI Bank,Debt Consolidation,1126160,72,9.2,20412,0.315,Pass
Person 0261,49,Construction Worker,260143,800,Kotak Mahindra Bank,Education (Tuition/Fees),769364,72,3.05,11707,0.54,Pass
Person 0262,60,CEO,41209811,850,ICICI Bank,Travel/Vacation,984433,24,7.43,44268,0.013,Pass
Person 0263,40,Software Engineer,1083657,840,Bajaj Finserv,Debt Consolidation,389502,48,9.57,9799,0.109,Pass
Person 0264,46,Freelance Designer,981271,845,Axis Bank,Home Renovation,1124448,60,5.1,21271,0.26,Pass
Person 0265,21,University Student,5557,850,HDFC Bank,Vehicle Purchase,605382,48,4.81,13889,29.993,Rejected
Person 0266,76,Retired (Pension),203778,813,Kotak Mahindra Bank,Wedding Expenses,830452,36,5.92,25234,1.486,Rejected
Person 0267,23,Construction Worker,456296,822,HDFC Bank,Education (Tuition/Fees),625204,60,3.02,11240,0.296,Pass
Person 0268,60,Retired (Pension),252443,792,Kotak Mahindra Bank,Wedding Expenses,648720,36,8.51,20481,0.974,Rejected
Person 0269,37,Retail Manager,1454753,850,HDFC Bank,Medical Emergency,755849,24,5.94,33479,0.276,Pass
Person 0270,33,Retail Manager,797017,827,Axis Bank,Medical Emergency,826668,24,5.82,36571,0.551,Rejected
Person 0271,22,University Student,42012,850,Kotak Mahindra Bank,Vehicle Purchase,797475,48,6.19,18798,5.369,Rejected
Person 0272,22,University Student,0,805,State Bank of India,Vehicle Purchase,804413,48,5.26,18620,18619.954,Rejected
Person 0273,20,University Student,66948,849,HDFC Bank,Vehicle Purchase,457708,36,4.15,13544,2.428,Rejected
Person 0274,24,University Student,38386,850,HDFC Bank,Consumer Durable/Tech,1809298,36,5.75,54838,17.143,Rejected
Person 0275,30,Freelance Designer,217732,828,ICICI Bank,Home Renovation,872438,60,5.97,16855,0.929,Rejected
Person 0276,30,Freelance Designer,471182,809,Kotak Mahindra Bank,Home Renovation,937040,60,5.2,17769,0.453,Pass
Person 0277,20,University Student,50527,827,Bajaj Finserv,Wedding Expenses,715304,36,3.21,20868,4.956,Rejected
Person 0278,40,Construction Worker,334935,785,State Bank of India,Education (Tuition/Fees),594210,60,6.38,11593,0.415,Pass
Person 0279,75,Retired (Pension),198539,829,Axis Bank,Wedding Expenses,848292,48,7.08,20345,1.23,Rejected
Person 0280,20,University Student,107012,846,ICICI Bank,Wedding Expenses,890008,48,4.38,20247,2.27,Rejected
Person 0281,21,University Student,0,829,State Bank of India,Consumer Durable/Tech,1265094,36,6.64,38855,38854.535,Rejected
Person 0282,45,Retail Manager,1444661,824,Kotak Mahindra Bank,Medical Emergency,1656308,36,9.65,53173,0.442,Pass
Person 0283,43,Retail Manager,1477752,840,State Bank of India,Medical Emergency,1344472,36,6.51,41213,0.335,Pass
Person 0284,25,Software Engineer,730745,842,HDFC Bank,Debt Consolidation,435814,48,6.44,10323,0.17,Pass
Person 0285,45,Freelance Designer,469257,796,HDFC Bank,Home Renovation,686021,48,10.22,17472,0.447,Pass
Person 0286,44,Software Engineer,2869325,831,ICICI Bank,Debt Consolidation,904514,72,9.82,16675,0.07,Pass
Person 0287,35,High School Teacher,606888,850,Kotak Mahindra Bank,Home Renovation,700437,48,2.2,15257,0.302,Pass
Person 0288,38,Freelance Designer,418029,803,Kotak Mahindra Bank,Home Renovation,792790,48,1.21,16928,0.486,Pass
Person 0289,29,Retail Manager,1853464,828,State Bank of India,Medical Emergency,382114,12,5.96,32880,0.213,Pass
Person 0290,25,Freelance Designer,948842,850,ICICI Bank,Home Renovation,1105707,60,2.71,19726,0.249,Pass
Person 0291,30,Software Engineer,3038911,850,Kotak Mahindra Bank,Debt Consolidation,419686,48,8.1,10265,0.041,Pass
Person 0292,32,Software Engineer,2056173,819,Bajaj Finserv,Debt Consolidation,466177,48,5.7,10884,0.064,Pass
Person 0293,21,University Student,70935,834,Bajaj Finserv,Vehicle Purchase,565828,36,5.53,17093,2.892,Rejected
Person 0294,24,Retail Manager,1320720,829,HDFC Bank,Medical Emergency,778104,24,6.86,34788,0.316,Pass
Person 0295,40,Software Engineer,2777035,815,State Bank of India,Debt Consolidation,458158,48,7.79,11140,0.048,Pass
Person 0296,46,Freelance Designer,641852,828,Axis Bank,Home Renovation,556998,36,7.19,17247,0.322,Pass
Person 0297,20,University Student,49301,824,HDFC Bank,Wedding Expenses,1199682,48,4.69,27460,6.684,Rejected
Person 0298,54,Doctor,935752,832,ICICI Bank,Debt Consolidation,774139,60,6.78,15249,0.196,Pass
Person 0299,39,Construction Worker,351287,815,Kotak Mahindra Bank,Education (Tuition/Fees),935779,84,2.74,12255,0.419,Pass
Person 0300,38,Software Engineer,1907166,804,HDFC Bank,Debt Consolidation,523931,48,8.05,12803,0.081,Pass
Person 0301,42,Software Engineer,1723910,829,Axis Bank,Debt Consolidation,789997,60,6.31,15387,0.107,Pass
Person 0302,23,Freelance Designer,620645,850,Axis Bank,Home Renovation,767832,48,4.59,17540,0.339,Pass
Person 0303,43,Freelance Designer,98841,831,Bajaj Finserv,Home Renovation,610698,48,4.47,13918,1.69,Rejected
Person 0304,24,Construction Worker,340760,823,ICICI Bank,Education (Tuition/Fees),790808,72,3.14,12065,0.425,Pass
Person 0305,75,Retired (Pension),238755,845,HDFC Bank,Wedding Expenses,417253,24,9.15,19091,0.96,Rejected
Person 0306,53,CEO,30433598,826,State Bank of India,Travel/Vacation,937400,24,7.06,41995,0.017,Pass
Person 0307,25,Freelance Designer,890625,850,HDFC Bank,Home Renovation,700618,48,4.38,15939,0.215,Pass
Person 0308,22,Retail Manager,2271469,829,Bajaj Finserv,Medical Emergency,736117,24,4.39,32094,0.17,Pass
Person 0309,21,University Student,33325,844,Axis Bank,Wedding Expenses,1082011,48,4.4,24625,8.867,Rejected
Person 0310,22,Retail Manager,835343,814,ICICI Bank,Medical Emergency,935238,36,6.68,28741,0.413,Pass
Person 0311,38,High School Teacher,102334,840,ICICI Bank,Medical Emergency,720710,24,4.07,31319,3.673,Rejected
Person 0312,40,Software Engineer,1533569,835,State Bank of India,Debt Consolidation,546186,48,5.11,12606,0.099,Pass
Person 0313,44,Software Engineer,1551687,828,ICICI Bank,Debt Consolidation,1276897,72,3.32,19584,0.151,Pass
Person 0314,52,CEO,31375410,819,Bajaj Finserv,Travel/Vacation,505371,12,7.56,43859,0.017,Pass
Person 0315,24,University Student,94262,817,Bajaj Finserv,Vehicle Purchase,1001642,60,3.79,18352,2.336,Rejected
Person 0316,24,Construction Worker,313600,835,Bajaj Finserv,Education (Tuition/Fees),462213,48,3.39,10311,0.395,Pass
Person 0317,41,High School Teacher,468350,842,ICICI Bank,Medical Emergency,1107149,36,5.29,33327,0.854,Rejected
Person 0318,25,Software Engineer,561758,827,ICICI Bank,Debt Consolidation,1143369,72,9.12,20678,0.442,Rejected
Person 0319,40,Software Engineer,2011403,835,Bajaj Finserv,Debt Consolidation,414280,48,8.53,10217,0.061,Pass
Person 0320,33,Retail Manager,2124466,829,ICICI Bank,Medical Emergency,940914,36,3.21,27450,0.155,Pass
Person 0321,48,Freelance Designer,328222,831,ICICI Bank,Home Renovation,914245,60,5.6,17505,0.64,Rejected
Person 0322,78,Retired (Pension),147723,825,Axis Bank,Wedding Expenses,1027590,48,5.86,24067,1.955,Rejected
Person 0323,43,Construction Worker,404852,830,HDFC Bank,Education (Tuition/Fees),913794,72,1.78,13391,0.397,Pass
Person 0324,44,Retail Manager,1510272,850,Kotak Mahindra Bank,Medical Emergency,576280,24,4.86,25246,0.201,Pass
Person 0325,58,CEO,37188562,836,ICICI Bank,Travel/Vacation,746478,18,8.37,44273,0.014,Pass
Person 0326,65,Retired (Pension),198686,842,Kotak Mahindra Bank,Wedding Expenses,1435023,48,5.72,33518,2.024,Rejected
Person 0327,27,Freelance Designer,717979,838,Kotak Mahindra Bank,Home Renovation,547898,36,3.84,16137,0.27,Pass
Person 0328,34,Construction Worker,316904,824,Axis Bank,Education (Tuition/Fees),900459,72,6.72,15231,0.577,Rejected
Person 0329,43,High School Teacher,690701,850,ICICI Bank,Medical Emergency,1200673,36,4.07,35486,0.617,Rejected
Person 0330,51,Doctor,1684551,824,Bajaj Finserv,Debt Consolidation,570603,48,5.87,13367,0.095,Pass
Person 0331,29,Retail Manager,1943833,850,Kotak Mahindra Bank,Medical Emergency,492126,12,3.69,41835,0.258,Pass
Person 0332,20,University Student,93950,823,ICICI Bank,Wedding Expenses,518525,24,4.51,22635,2.891,Rejected
Person 0333,26,Software Engineer,1767732,810,State Bank of India,Debt Consolidation,923255,72,8.46,16396,0.111,Pass
Person 0334,25,Software Engineer,2396288,837,Bajaj Finserv,Debt Consolidation,516994,48,9.92,13092,0.066,Pass
Person 0335,39,Software Engineer,1874818,807,State Bank of India,Debt Consolidation,768012,60,6.17,14909,0.095,Pass
Person 0336,25,Software Engineer,1669837,840,State Bank of India,Debt Consolidation,1295998,72,8.16,22824,0.164,Pass
Person 0337,22,University Student,2675,806,Kotak Mahindra Bank,Vehicle Purchase,790718,48,7.84,19244,86.33,Rejected
Person 0338,75,Retired (Pension),168774,823,State Bank of India,Wedding Expenses,614392,36,8.13,19290,1.372,Rejected
Person 0339,43,High School Teacher,403541,801,Axis Bank,Home Renovation,840813,48,3.97,18973,0.564,Rejected
Person 0340,28,Software Engineer,1103045,850,Axis Bank,Debt Consolidation,785942,60,8.24,16026,0.174,Pass
Person 0341,27,High School Teacher,611796,796,Kotak Mahindra Bank,Home Renovation,941995,60,5.2,17863,0.35,Pass
Person 0342,41,High School Teacher,689374,830,ICICI Bank,Home Renovation,1412498,60,2.58,25118,0.437,Pass
Person 0343,41,Software Engineer,1857722,850,HDFC Bank,Debt Consolidation,923885,72,8.02,16208,0.105,Pass
Person 0344,36,High School Teacher,531490,850,ICICI Bank,Medical Emergency,1631260,36,2.31,46945,1.06,Rejected
Person 0345,49,Retail Manager,1631920,847,ICICI Bank,Medical Emergency,942806,36,5.04,28274,0.208,Pass
Person 0346,35,Construction Worker,427045,823,ICICI Bank,Education (Tuition/Fees),616644,60,2.54,10955,0.308,Pass
Person 0347,42,Construction Worker,394976,850,ICICI Bank,Education (Tuition/Fees),1781998,84,3.49,23942,0.727,Rejected
Person 0348,30,Software Engineer,2390589,848,Bajaj Finserv,Debt Consolidation,770806,60,6.07,14927,0.075,Pass
Person 0349,24,Retail Manager,2055822,834,HDFC Bank,Medical Emergency,557989,12,6.48,48147,0.281,Pass
Person 0350,49,Construction Worker,376105,834,Bajaj Finserv,Education (Tuition/Fees),1804072,84,4.54,25110,0.801,Rejected
Person 0351,30,Freelance Designer,783213,823,State Bank of India,Home Renovation,624033,48,5.96,14644,0.224,Pass
Person 0352,22,University Student,40891,811,ICICI Bank,Vehicle Purchase,615563,48,8.17,15077,4.425,Rejected
Person 0353,45,Construction Worker,309243,850,Axis Bank,Education (Tuition/Fees),664668,60,2.09,11676,0.453,Pass
Person 0354,41,Software Engineer,885328,850,Kotak Mahindra Bank,Debt Consolidation,852346,60,9.06,17718,0.24,Pass
Person 0355,38,Software Engineer,1869979,812,Kotak Mahindra Bank,Debt Consolidation,1112194,72,8.84,19960,0.128,Pass
Person 0356,42,Construction Worker,342322,826,Bajaj Finserv,Education (Tuition/Fees),320756,48,4.28,7283,0.255,Pass
Person 0357,27,Software Engineer,1986434,827,Bajaj Finserv,Debt Consolidation,1110482,72,8.92,19973,0.121,Pass
Person 0358,49,Freelance Designer,1108197,829,Axis Bank,Home Renovation,663947,48,1.0,14116,0.153,Pass
Person 0359,18,University Student,64060,831,ICICI Bank,Consumer Durable/Tech,697374,24,7.12,31261,5.856,Rejected
Person 0360,41,Freelance Designer,307353,848,HDFC Bank,Home Renovation,1460431,60,5.98,28221,1.102,Rejected
Person 0361,42,Retail Manager,1445055,815,State Bank of India,Medical Emergency,866852,36,5.81,26297,0.218,Pass
Person 0362,44,Construction Worker,475539,813,Kotak Mahindra Bank,Education (Tuition/Fees),940374,84,2.6,12257,0.309,Pass
Person 0363,25,High School Teacher,634092,850,State Bank of India,Home Renovation,791438,48,2.97,17507,0.331,Pass
Person 0364,24,Freelance Designer,0,820,HDFC Bank,Home Renovation,1049395,60,3.4,19043,19043.367,Rejected
Person 0365,19,University Student,36349,804,Bajaj Finserv,Consumer Durable/Tech,1411957,36,5.92,42903,14.164,Rejected
Person 0366,46,Retail Manager,1160551,820,Kotak Mahindra Bank,Medical Emergency,340758,12,6.02,29331,0.303,Pass
Person 0367,54,CEO,34935844,823,State Bank of India,Travel/Vacation,1173192,24,7.35,52713,0.018,Pass
Person 0368,24,University Student,79251,850,Bajaj Finserv,Consumer Durable/Tech,1377539,36,2.98,40048,6.064,Rejected
Person 0369,27,Software Engineer,1225548,848,HDFC Bank,Debt Consolidation,957943,72,8.17,16875,0.165,Pass
Person 0370,32,Software Engineer,1329714,850,State Bank of India,Debt Consolidation,636196,60,9.07,13228,0.119,Pass
Person 0371,38,Software Engineer,1984488,846,ICICI Bank,Debt Consolidation,539429,48,8.72,13352,0.081,Pass
Person 0372,42,Software Engineer,893263,848,Bajaj Finserv,Debt Consolidation,1828129,72,9.15,33089,0.445,Rejected
Person 0373,39,Software Engineer,2079938,816,HDFC Bank,Debt Consolidation,587812,60,9.35,12302,0.071,Pass
Person 0374,43,Construction Worker,450091,826,State Bank of India,Education (Tuition/Fees),1363573,84,5.08,19324,0.515,Pass
Person 0375,26,Software Engineer,1083716,810,ICICI Bank,Debt Consolidation,921903,72,8.76,16508,0.183,Pass
Person 0376,48,Retail Manager,2168201,825,ICICI Bank,Medical Emergency,1638108,36,4.22,48524,0.269,Pass
Person 0377,19,University Student,64059,843,HDFC Bank,Vehicle Purchase,720710,48,5.43,16738,3.136,Rejected
Person 0378,26,Software Engineer,2650282,832,Axis Bank,Debt Consolidation,460591,48,6.99,11027,0.05,Pass
Person 0379,19,University Student,141628,850,Kotak Mahindra Bank,Vehicle Purchase,805584,48,6.74,19194,1.626,Rejected
Person 0380,38,Retail Manager,1554607,807,HDFC Bank,Medical Emergency,480323,12,4.87,41091,0.317,Pass
Person 0381,32,Software Engineer,3670262,840,ICICI Bank,Debt Consolidation,2039594,72,8.19,35950,0.118,Pass
Person 0382,22,Construction Worker,302244,805,ICICI Bank,Education (Tuition/Fees),1001642,84,1.09,12390,0.492,Pass
Person 0383,30,Construction Worker,409933,831,HDFC Bank,Education (Tuition/Fees),1054711,84,2.63,13761,0.403,Pass
Person 0384,20,University Student,0,844,Axis Bank,Vehicle Purchase,1054981,60,5.58,20190,20190.342,Rejected
Person 0385,81,Retired (Pension),237349,825,Kotak Mahindra Bank,Wedding Expenses,632592,36,5.91,19219,0.972,Rejected
Person 0386,24,University Student,43878,841,State Bank of India,Vehicle Purchase,768823,48,2.61,16885,4.618,Rejected
Person 0387,31,Retail Manager,1688623,810,HDFC Bank,Medical Emergency,836398,24,5.07,36720,0.261,Pass
Person 0388,27,Software Engineer,1111394,796,Kotak Mahindra Bank,Debt Consolidation,1581075,72,13.04,31772,0.343,Pass
Person 0389,19,University Student,4574,841,Kotak Mahindra Bank,Wedding Expenses,538528,24,9.23,24659,64.694,Rejected
Person 0390,18,University Student,80205,850,Bajaj Finserv,Vehicle Purchase,625024,48,7.16,15013,2.246,Rejected
Person 0391,57,CEO,41571236,810,ICICI Bank,Travel/Vacation,709628,18,5.69,41223,0.012,Pass
Person 0392,31,High School Teacher,407453,850,State Bank of India,Medical Emergency,637007,24,6.2,28290,0.833,Rejected
Person 0393,46,Retail Manager,2093900,830,HDFC Bank,Medical Emergency,484918,12,6.15,41769,0.239,Pass
Person 0394,21,University Student,0,803,ICICI Bank,Wedding Expenses,314629,24,8.31,14274,14274.343,Rejected
Person 0395,34,Retail Manager,1187217,807,Bajaj Finserv,Medical Emergency,426804,12,1.28,35814,0.362,Pass
Person 0396,21,University Student,67315,830,Bajaj Finserv,Consumer Durable/Tech,1179049,36,4.29,34963,6.233,Rejected
Person 0397,18,University Student,18497,821,ICICI Bank,Vehicle Purchase,802611,48,1.4,17203,11.161,Rejected
Person 0398,32,High School Teacher,558677,803,Axis Bank,Medical Emergency,1075974,36,7.97,33702,0.724,Rejected
Person 0399,23,University Student,13291,796,Kotak Mahindra Bank,Wedding Expenses,657550,36,6.74,20225,18.261,Rejected
Person 0400,23,University Student,0,813,HDFC Bank,Wedding Expenses,777923,36,8.1,24413,24413.182,Rejected
Person 0401,36,Software Engineer,2227366,833,HDFC Bank,Debt Consolidation,1409524,72,9.79,25964,0.14,Pass
Person 0402,20,University Student,26746,829,HDFC Bank,Consumer Durable/Tech,1380242,36,6.56,42341,18.997,Rejected
Person 0403,44,Freelance Designer,755154,819,ICICI Bank,Home Renovation,1116429,60,2.38,19755,0.314,Pass
Person 0404,24,University Student,104225,834,Axis Bank,Vehicle Purchase,863608,60,4.06,15928,1.834,Rejected
Person 0405,49,Retail Manager,1838196,850,State Bank of India,Medical Emergency,963619,36,7.63,30032,0.196,Pass
Person 0406,19,University Student,48740,837,Bajaj Finserv,Consumer Durable/Tech,915506,36,6.86,28210,6.945,Rejected
Person 0407,23,Retail Manager,1364042,827,ICICI Bank,Medical Emergency,759633,24,4.59,33187,0.292,Pass
Person 0408,43,Software Engineer,1218606,848,State Bank of India,Debt Consolidation,699446,60,6.91,13820,0.136,Pass
Person 0409,18,University Student,81384,810,Bajaj Finserv,Consumer Durable/Tech,1188689,36,7.22,36823,5.43,Rejected
Person 0410,41,Software Engineer,2632763,825,Bajaj Finserv,Debt Consolidation,513300,48,5.91,12034,0.055,Pass
